evidence_id	study_id	sample_comparison	feature_id_original	feature_id_standardized	feature_type	species	genome_assembly	annotation_version	ortholog_reference	mapping_confidence	molecular_direction	effect_size	effect_size_type	standard_error	ci_lower	ci_upper	p_value	adjusted_p_value	sample_size	tissue	life_stage	stressor	phenotype	phenotype_direction	analysis_method	quality_flags	source_file	input_checksum	workflow_version	date_generated	source_accession	resilience_classification
CGIG_HEAT_RNASEQ_001:1	CGIG_HEAT_RNASEQ_001	heat_vs_control	CGI_10001	NCBI:LOC105317001	gene	Crassostrea gigas	cgigas_uk_roslin_v1	demo_annotation_v1	ORTHO_HEATSHOCK_A	exact	up	1.45	log2_fold_change	0.31			0.0004	0.008	24	gill	juvenile	temperature	thermal_tolerance	higher survival under heat is favorable	DESeq2_demo	none	/Users/sr320/Documents/GitHub/AREE-co/data/demo/processed/CGIG_HEAT_RNASEQ_001_rnaseq.tsv	ccb9606c0d92c3d73795c6fee573d561b14017c025c930f23becf1bdb442edce	0.1.0	2026-07-06	SIM-BIOPROJECT-HEAT-001;SIM-GEO-HEAT-001	resilience_associated
CGIG_HEAT_RNASEQ_001:2	CGIG_HEAT_RNASEQ_001	heat_vs_control	CGI_10002	NCBI:LOC105317002	gene	Crassostrea gigas	cgigas_uk_roslin_v1	demo_annotation_v1	ORTHO_IMMUNE_B	exact	up	0.9	log2_fold_change	0.28			0.004	0.03	24	gill	juvenile	temperature	thermal_tolerance	higher survival under heat is favorable	DESeq2_demo	none	/Users/sr320/Documents/GitHub/AREE-co/data/demo/processed/CGIG_HEAT_RNASEQ_001_rnaseq.tsv	ccb9606c0d92c3d73795c6fee573d561b14017c025c930f23becf1bdb442edce	0.1.0	2026-07-06	SIM-BIOPROJECT-HEAT-001;SIM-GEO-HEAT-001	resilience_associated
CGIG_HEAT_RNASEQ_001:3	CGIG_HEAT_RNASEQ_001	heat_vs_control	CGI_10003	NCBI:LOC105317003	gene	Crassostrea gigas	cgigas_uk_roslin_v1	demo_annotation_v1	ORTHO_SHELL_C	one-to-one ortholog	down	-0.7	log2_fold_change	0.25			0.012	0.06	24	gill	juvenile	temperature	thermal_tolerance	higher survival under heat is favorable	DESeq2_demo	none	/Users/sr320/Documents/GitHub/AREE-co/data/demo/processed/CGIG_HEAT_RNASEQ_001_rnaseq.tsv	ccb9606c0d92c3d73795c6fee573d561b14017c025c930f23becf1bdb442edce	0.1.0	2026-07-06	SIM-BIOPROJECT-HEAT-001;SIM-GEO-HEAT-001	resilience_associated
CGIG_HEAT_RNASEQ_001:4	CGIG_HEAT_RNASEQ_001	heat_vs_control	CGI_99999	CGI_99999	gene	Crassostrea gigas	cgigas_uk_roslin_v1	demo_annotation_v1		inferred	up	1.2	log2_fold_change	0.45			0.02	0.09	24	gill	juvenile	temperature	thermal_tolerance	higher survival under heat is favorable	DESeq2_demo	imperfect_identifier_mapping	/Users/sr320/Documents/GitHub/AREE-co/data/demo/processed/CGIG_HEAT_RNASEQ_001_rnaseq.tsv	ccb9606c0d92c3d73795c6fee573d561b14017c025c930f23becf1bdb442edce	0.1.0	2026-07-06	SIM-BIOPROJECT-HEAT-001;SIM-GEO-HEAT-001	resilience_associated
CGIG_HEAT_RNASEQ_002:1	CGIG_HEAT_RNASEQ_002	heat_selected_vs_unselected	CGI_10001	NCBI:LOC105317001	gene	Crassostrea gigas	cgigas_uk_roslin_v1	demo_annotation_v1	ORTHO_HEATSHOCK_A	exact	up	1.1	log2_fold_change	0.35			0.003	0.025	20	mantle	adult	temperature	survival	higher post-exposure survival is favorable	edgeR_demo	none	/Users/sr320/Documents/GitHub/AREE-co/data/demo/processed/CGIG_HEAT_RNASEQ_002_rnaseq.tsv	6c4938e13d64809919996306fa42743de66290d619288aa96c16fbf9f98e3f89	0.1.0	2026-07-06	SIM-BIOPROJECT-HEAT-002;SIM-SRA-HEAT-002	resilience_associated
CGIG_HEAT_RNASEQ_002:2	CGIG_HEAT_RNASEQ_002	heat_selected_vs_unselected	CGI_10002	NCBI:LOC105317002	gene	Crassostrea gigas	cgigas_uk_roslin_v1	demo_annotation_v1	ORTHO_IMMUNE_B	exact	down	-0.55	log2_fold_change	0.3			0.05	0.12	20	mantle	adult	temperature	survival	higher post-exposure survival is favorable	edgeR_demo	conflicting_direction	/Users/sr320/Documents/GitHub/AREE-co/data/demo/processed/CGIG_HEAT_RNASEQ_002_rnaseq.tsv	6c4938e13d64809919996306fa42743de66290d619288aa96c16fbf9f98e3f89	0.1.0	2026-07-06	SIM-BIOPROJECT-HEAT-002;SIM-SRA-HEAT-002	resilience_associated
CGIG_HEAT_RNASEQ_002:3	CGIG_HEAT_RNASEQ_002	heat_selected_vs_unselected	CGI_10004	NCBI:LOC105317004	gene	Crassostrea gigas	cgigas_uk_roslin_v1	demo_annotation_v1	ORTHO_METAB_D	one-to-many ortholog	up	0.8	log2_fold_change	0.34			0.018000000000000002	0.07	20	mantle	adult	temperature	survival	higher post-exposure survival is favorable	edgeR_demo	none	/Users/sr320/Documents/GitHub/AREE-co/data/demo/processed/CGIG_HEAT_RNASEQ_002_rnaseq.tsv	6c4938e13d64809919996306fa42743de66290d619288aa96c16fbf9f98e3f89	0.1.0	2026-07-06	SIM-BIOPROJECT-HEAT-002;SIM-SRA-HEAT-002	resilience_associated
CGIG_LARVAL_PROCESSED_001:1	CGIG_LARVAL_PROCESSED_001	multistressor_vs_control	CGI_10001	NCBI:LOC105317001	gene	Crassostrea gigas	cgigas_uk_roslin_v1	demo_annotation_v1	ORTHO_HEATSHOCK_A	exact	up	0.65	standardized_mean_difference	0.32			0.04	0.15	12	larvae	larva	multi_stressor_exposure	larval_viability	higher settlement and survival are favorable	public_supplement_demo	processed_only_limited_metadata	/Users/sr320/Documents/GitHub/AREE-co/data/demo/processed/CGIG_LARVAL_PROCESSED_001_processed.tsv	ac6dd4b6a34febff2ae9a972e87c2c27d5a2eda4a499dc146239dac0ee4e2fc0	0.1.0	2026-07-06	SIM-BIOPROJECT-LARVAL-001	suggestive
CGIG_LARVAL_PROCESSED_001:2	CGIG_LARVAL_PROCESSED_001	multistressor_vs_control	CGI_10003	NCBI:LOC105317003	gene	Crassostrea gigas	cgigas_uk_roslin_v1	demo_annotation_v1	ORTHO_SHELL_C	one-to-one ortholog	down	-1.05	standardized_mean_difference	0.41			0.011	0.07	12	larvae	larva	multi_stressor_exposure	larval_viability	higher settlement and survival are favorable	public_supplement_demo	suggestive_phenotype	/Users/sr320/Documents/GitHub/AREE-co/data/demo/processed/CGIG_LARVAL_PROCESSED_001_processed.tsv	ac6dd4b6a34febff2ae9a972e87c2c27d5a2eda4a499dc146239dac0ee4e2fc0	0.1.0	2026-07-06	SIM-BIOPROJECT-LARVAL-001	suggestive
CGIG_OA_METHYL_001:1	CGIG_OA_METHYL_001	low_pH_vs_control	DMR_0007	NCBI:LOC105317003	genomic_region	Crassostrea gigas	cgigas_uk_roslin_v1	demo_annotation_v1	ORTHO_SHELL_C	one-to-one ortholog	hypermethylated	0.18	methylation_difference	0.06			0.002	0.03	18	mantle	juvenile	ocean_acidification_pH	acidification_tolerance	maintained growth and shell formation is favorable	DSS_demo	nearest_gene_annotation	/Users/sr320/Documents/GitHub/AREE-co/data/demo/processed/CGIG_OA_METHYL_001_methylation.tsv	e22c56aa180d1b3a2d7efe6e9d8cfff6bf6f4c8e0630becfcb7ce866abec8909	0.1.0	2026-07-06	SIM-BIOPROJECT-OA-METHYL-001;SIM-ENA-OA-METHYL-001	resilience_associated
